date,symbol,stock_name,action,price,money_amount,number_of_stocks
06-Nov-2023 18:24:48,TSLA,Tesla,buy,219.9600067138672,219.9600067138672,1.0
08-Nov-2023 20:35:39,NFLX,Netflix,sell,435.1000061035156,3480.800048828125,8.0
08-Nov-2023 20:35:39,AVGO,Broadcom,sell,903.385009765625,0.0,0.0
08-Nov-2023 20:35:39,AMZN,Amazon,sell,141.75,9639.0,68.0
08-Nov-2023 20:35:39,META,Meta Platforms,sell,316.9100036621094,6972.020080566406,22.0
08-Nov-2023 20:35:39,XOM,Exxon Mobil,buy,103.9250030517578,11431.75033569336,110.0
08-Nov-2023 20:35:39,TSLA,Tesla,buy,220.6100006103516,3088.540008544922,14.0
08-Nov-2023 20:35:39,V,Visa,buy,243.94000244140625,3659.1000366210938,15.0
08-Nov-2023 20:35:39,AVGO,Broadcom,buy,903.385009765625,1806.77001953125,2.0
08-Nov-2023 20:35:39,AMZN,Amazon,buy,141.75,141.75,1.0
14-Nov-2023 18:34:28,TSLA,Tesla,sell,223.7100067138672,11409.210342407228,51.0
14-Nov-2023 18:34:28,NFLX,Netflix,sell,447.4800109863281,7607.160186767578,17.0
14-Nov-2023 18:34:28,AVGO,Broadcom,sell,955.2520751953124,11463.02490234375,12.0
14-Nov-2023 18:34:28,XOM,Exxon Mobil,sell,104.83999633789062,11532.399597167969,110.0
14-Nov-2023 18:34:28,V,Visa,sell,246.759994506836,3701.399917602539,15.0
14-Nov-2023 18:34:28,AMZN,Amazon,sell,142.58999633789062,142.58999633789062,1.0
14-Nov-2023 18:34:28,NKE,Nike,buy,105.52999877929688,10447.46987915039,99.0
14-Nov-2023 18:34:28,FRSH,Freshworks,buy,18.03499984741211,30190.58974456787,1674.0
14-Nov-2023 18:34:28,JNJ,Johnson & Johnson,buy,147.6300048828125,2362.080078125,16.0
14-Nov-2023 18:34:28,AVGO,Broadcom,buy,955.2520751953124,2865.756225585937,3.0
20-Nov-2023 20:58:45,NFLX,Netflix,sell,472.4002990722656,27399.217346191406,58.0
20-Nov-2023 20:58:45,NKE,Nike,sell,105.38999938964844,10433.609939575195,99.0
20-Nov-2023 20:58:45,FRSH,Freshworks,sell,19.100000381469727,31973.40063858032,1674.0
20-Nov-2023 20:58:45,JNJ,Johnson & Johnson,sell,149.76499938964844,2396.239990234375,16.0
20-Nov-2023 20:58:45,AVGO,Broadcom,sell,988.2150268554688,2964.6450805664062,3.0
20-Nov-2023 20:58:45,WMT,Walmart,buy,155.12570190429688,18615.084228515625,120.0
20-Nov-2023 20:58:45,AMZN,Amazon,buy,145.9499053955078,22622.23533630371,155.0
20-Nov-2023 20:58:45,V,Visa,buy,246.77999877929688,4688.819976806641,19.0
20-Nov-2023 20:58:45,SBUX,Starbucks,buy,104.0500030517578,16023.700469970703,154.0
20-Nov-2023 20:58:45,TSLA,Tesla,buy,234.6199951171875,3988.539916992188,17.0
20-Nov-2023 20:58:45,AVGO,Broadcom,buy,988.2150268554688,8893.935241699219,9.0
20-Nov-2023 20:58:45,V,Visa,buy,246.77999877929688,246.77999877929688,1.0
20-Nov-2023 20:58:45,FRSH,Freshworks,buy,19.100000381469727,95.50000190734865,5.0
21-Nov-2023 19:11:32,WMT,Walmart,sell,154.74000549316406,1237.9200439453125,8.0
21-Nov-2023 19:11:32,AMZN,Amazon,sell,143.3155059814453,22213.903427124023,155.0
21-Nov-2023 19:11:32,V,Visa,sell,251.4499969482422,5028.999938964844,20.0
21-Nov-2023 19:11:32,SBUX,Starbucks,sell,103.62999725341795,3937.939895629883,38.0
21-Nov-2023 19:11:32,AVGO,Broadcom,buy,980.0,0.0,0.0
21-Nov-2023 19:11:32,FRSH,Freshworks,sell,19.07999992370605,95.39999961853027,5.0
21-Nov-2023 19:11:32,TSLA,Tesla,buy,243.259994506836,973.0399780273438,4.0
21-Nov-2023 19:11:32,NFLX,Netflix,buy,474.4800109863281,22300.560516357426,47.0
21-Nov-2023 19:11:32,AVGO,Broadcom,buy,980.0,8820.0,9.0
21-Nov-2023 19:11:32,V,Visa,buy,251.4499969482422,251.4499969482422,1.0
21-Nov-2023 19:11:32,WMT,Walmart,buy,154.74000549316406,154.74000549316406,1.0
11-Jan-2024 17:33:30,TSLA,Tesla,sell,233.94000244140625,7720.020080566406,33.0
11-Jan-2024 17:33:30,WMT,Walmart,sell,161.2899932861328,18225.769241333008,113.0
11-Jan-2024 17:33:30,SBUX,Starbucks,sell,93.5,10846.0,116.0
11-Jan-2024 17:33:30,AVGO,Broadcom,sell,1080.5699462890625,19450.259033203125,18.0
11-Jan-2024 17:33:30,NFLX,Netflix,sell,478.3299865722656,2869.9799194335938,6.0
11-Jan-2024 17:33:30,V,Visa,sell,264.5599975585937,264.5599975585937,1.0
11-Jan-2024 17:33:30,AMZN,Amazon,buy,153.72999572753906,26441.55926513672,172.0
11-Jan-2024 17:33:30,XOM,Exxon Mobil,buy,98.69000244140624,6316.16015625,64.0
11-Jan-2024 17:33:30,NKE,Nike,buy,103.7699966430664,16914.509452819824,163.0
11-Jan-2024 17:33:30,AVGO,Broadcom,buy,1080.5699462890625,8644.5595703125,8.0
11-Jan-2024 17:33:30,NFLX,Netflix,buy,478.3299865722656,956.6599731445312,2.0
11-Jan-2024 17:33:30,NKE,Nike,buy,103.7699966430664,103.7699966430664,1.0
11-Jan-2024 18:35:25,AMZN,Amazon,sell,156.57009887695312,9394.205932617188,60.0
11-Jan-2024 18:35:25,XOM,Exxon Mobil,sell,99.2699966430664,893.4299697875977,9.0
11-Jan-2024 18:35:25,NKE,Nike,sell,104.26499938964844,17099.459899902344,164.0
11-Jan-2024 18:35:25,AVGO,Broadcom,sell,1093.18994140625,8745.51953125,8.0
11-Jan-2024 18:35:25,NFLX,Netflix,buy,500.0,22000.0,44.0
11-Jan-2024 18:35:25,TSLA,Tesla,buy,229.38250732421875,1376.2950439453125,6.0
11-Jan-2024 18:35:25,PEP,Pepsico,buy,165.97999572753906,2655.679931640625,16.0
11-Jan-2024 18:35:25,AVGO,Broadcom,buy,1093.18994140625,9838.70947265625,9.0
11-Jan-2024 18:35:25,TSLA,Tesla,buy,229.38250732421875,229.38250732421875,1.0
